iter	Logloss
1104	0.4166655068
1105	0.4166213797
1106	0.416586895
1107	0.416552128
1108	0.4165266009
1109	0.4164704457
1110	0.4164591839
1111	0.4164247963
1112	0.4163926319
1113	0.4163711386
1114	0.4163389191
1115	0.4163009826
1116	0.4162789212
1117	0.4162294948
1118	0.416199979
1119	0.4161537945
1120	0.4161063404
1121	0.4160681845
1122	0.4160604585
1123	0.4160424703
1124	0.4159846406
1125	0.415948159
1126	0.4159045021
1127	0.4158544751
1128	0.4158125678
1129	0.4157741282
1130	0.4157184786
1131	0.4156858692
1132	0.4156856587
1133	0.4156222279
1134	0.4155773376
1135	0.4155452697
1136	0.4154887258
1137	0.4154743641
1138	0.4154235336
1139	0.4153798967
1140	0.4153596632
1141	0.4152967105
1142	0.415271071
1143	0.4152522929
1144	0.415221193
1145	0.4151713939
1146	0.4151411603
1147	0.4151047513
1148	0.4150700079
1149	0.4150356864
1150	0.414996049
1151	0.4149563567
1152	0.4149223139
1153	0.4148665618
1154	0.4148010588
1155	0.4147638735
1156	0.4147219637
1157	0.4146682953
1158	0.4146283305
1159	0.4146144085
1160	0.4145790475
1161	0.4145409233
1162	0.4145129186
1163	0.4144793766
1164	0.4144420368
1165	0.4144110449
1166	0.414360255
1167	0.4143258773
1168	0.4143026145
1169	0.4142452484
1170	0.4142086476
1171	0.4141705906
1172	0.4141703273
1173	0.4141294297
1174	0.4141040057
1175	0.4140625945
1176	0.4140095009
1177	0.4139690499
1178	0.4139187908
1179	0.4138943908
1180	0.4138535509
1181	0.4138208889
1182	0.4137640832
1183	0.4137300013
87712
1183	0.4108570287
