iter	Accuracy	Logloss
402	0.7889440873	0.4668407627
403	0.7889539117	0.4668342473
404	0.7889397209	0.4668133705
405	0.7889375377	0.4668003395
406	0.7889495453	0.4667900376
407	0.7889266218	0.4667771772
408	0.7889375377	0.4667617925
409	0.7889681024	0.4667488639
410	0.7889528201	0.4667362764
411	0.788974652	0.4667251217
412	0.788974652	0.4667070421
413	0.7889757436	0.4666881779
414	0.789001942	0.4666365318
415	0.7890204991	0.4666208742
416	0.7890161327	0.4666078091
417	0.7890379647	0.4665974731
418	0.7890499722	0.466575607
419	0.7890325067	0.4665653392
420	0.7890521554	0.4665486582
421	0.7890543386	0.4664933961
422	0.7890772621	0.4664803993
423	0.7890958193	0.4664661062
424	0.7890859949	0.4664516425
425	0.7890925445	0.4664369401
426	0.7891132848	0.4664240456
427	0.7891460328	0.4664129249
428	0.7891645899	0.4664012926
429	0.7891482159	0.4663877841
430	0.7891416664	0.4663812345
431	0.7891678647	0.4663667367
432	0.7892137118	0.4663558208
433	0.7892246277	0.466343438
434	0.7892257193	0.4663310893
435	0.7892246277	0.4663131803
436	0.7892148034	0.4662983414
437	0.7892235361	0.4662805688
438	0.7892442765	0.4662700622
439	0.7892322689	0.4662503793
440	0.7892497345	0.4662370073
441	0.7892759328	0.4662269782
442	0.7892792076	0.4662121052
443	0.7892901236	0.466199586
444	0.7892912152	0.4661820863
445	0.7892879404	0.466173183
446	0.7892977647	0.4661603567
447	0.7893032227	0.466148929
448	0.7893021311	0.4661384224
449	0.7893086807	0.4661317705
450	0.7893010395	0.4661245046
451	0.7893054059	0.4661144414
452	0.7892912152	0.4661023997
453	0.7893032227	0.4660860258
454	0.7893064975	0.4660720056
455	0.7893119555	0.466056041
456	0.7893195967	0.4660428053
457	0.7893283295	0.466028444
458	0.7893250547	0.4660140486
459	0.7893534362	0.465999005
460	0.7893676269	0.4659927624
461	0.7893785429	0.4659853259
462	0.7893774513	0.4659721585
463	0.7893610774	0.4659624365
464	0.7893578026	0.4659508724
465	0.7893556194	0.4659334069
466	0.7893752681	0.4659235143
467	0.7893818177	0.4659118137
468	0.7893763597	0.4658933589
469	0.7894123824	0.4658830569
470	0.7894156572	0.4658654208
471	0.789435306	0.4658529016
472	0.7894320312	0.4658445781
473	0.7894516799	0.4658318883
474	0.7894342144	0.4658187551
475	0.7894571379	0.4658080779
476	0.7894778782	0.4657942623
477	0.7894931606	0.4657879174
478	0.7894953438	0.4657787071
479	0.7895008018	0.4657688827
480	0.7895139009	0.4657586149
481	0.7894997102	0.4657409788
482	0.7894909774	0.4657326895
483	0.7895095346	0.4657204431
484	0.7895139009	0.4656996004
485	0.7895149925	0.4656897078
486	0.7895270001	0.4656819984
487	0.7895619312	0.4656367313
488	0.7895510152	0.4656242461
489	0.7895466489	0.4656157862
490	0.7895575648	0.4655996852
491	0.7895433741	0.4655815715
492	0.7895684808	0.4655745785
493	0.7895739388	0.465562605
494	0.7895804884	0.4655516208
495	0.7895914043	0.4655402614
496	0.7895903127	0.4655297548
497	0.7896176027	0.4655209196
498	0.7896176027	0.4655121869
499	0.7896361598	0.4655022943
500	0.7896667245	0.4654886493
501	0.7896863733	0.4654735375
502	0.7896841901	0.4654681136
503	0.7896896481	0.4654536841
504	0.7897202128	0.4654402779
505	0.7897147548	0.4654306241
506	0.7897158464	0.465425746
507	0.7897234876	0.4654173203
508	0.7897311287	0.4654097473
509	0.7897322203	0.4654025496
510	0.7897213044	0.4653884271
511	0.7897344035	0.4653768629
512	0.7897464111	0.465366254
513	0.7897551439	0.4653509034
514	0.7897475027	0.4653461959
515	0.7897442279	0.465335314
516	0.789784617	0.4653228289
517	0.7898217313	0.4653096274
518	0.7898140901	0.4652916843
519	0.789846838	0.4652750374
520	0.7898533876	0.465268829
521	0.7898315557	0.4652549111
522	0.78984138	0.4652444386
523	0.7898544792	0.4652171487
524	0.7898260977	0.4652066079
525	0.7898555708	0.4651942933
526	0.7898566624	0.4651879826
527	0.7898599372	0.4651784311
528	0.7898774027	0.465168402
529	0.7898730364	0.465156258
530	0.7898708532	0.4651420331
531	0.7899003263	0.4651324134
532	0.789874128	0.4651222479
533	0.7898861355	0.4651117072
534	0.7898719448	0.4650972777
535	0.7898675784	0.465083428
536	0.789874128	0.4650650756
537	0.7899046927	0.4650524881
538	0.7898839523	0.4650351249
539	0.7898894103	0.4650271767
540	0.7899265246	0.4650155785
541	0.7899690969	0.4650011489
542	0.7899581809	0.4649882544
