iter	Accuracy	Logloss
534	0.8029595087	0.4494257291
535	0.8029484672	0.4494121859
536	0.8029558282	0.4493929495
537	0.8029723906	0.449377221
538	0.8029815919	0.4493688535
539	0.8029705503	0.4493542752
540	0.8029705503	0.4493321633
541	0.8029723906	0.4493172112
542	0.8029944737	0.4493053933
543	0.8030202374	0.4492853229
544	0.8030073555	0.4492800897
545	0.8030220776	0.4492658564
546	0.8030331192	0.4492515081
547	0.803046001	0.4492383387
548	0.8030570426	0.4492296262
549	0.803046001	0.4492137252
550	0.8030680842	0.4492027124
551	0.8030644036	0.4491849999
552	0.8030791257	0.4491642969
553	0.8031288128	0.4491495461
554	0.8031508959	0.4491354566
555	0.8031472154	0.4491216546
556	0.803158257	0.4491116195
557	0.803165618	0.4491019293
558	0.8031987427	0.4490920379
559	0.8031877012	0.4490843318
560	0.8031932219	0.449064664
561	0.8031821804	0.4490492806
562	0.8031932219	0.4490390441
563	0.8032116246	0.4490276575
564	0.8032116246	0.4490154658
565	0.8032153051	0.44900083
566	0.8032024233	0.4489862516
567	0.8032134648	0.4489761302
568	0.8032189856	0.4489604305
569	0.8032226661	0.4489472611
570	0.8032263467	0.4489405039
571	0.8032300272	0.4489304975
572	0.8032281869	0.448920491
573	0.8032392285	0.4489091907
574	0.8032576311	0.4488916219
575	0.8032649922	0.448873018
576	0.8032797142	0.4488584685
577	0.8032668324	0.4488350339
578	0.8032962766	0.4488266377
579	0.8033073182	0.4488153086
580	0.8033054779	0.4488005865
581	0.8033146792	0.4487894299
582	0.803312839	0.4487756279
583	0.8033238805	0.4487617972
584	0.8033238805	0.4487389952
585	0.8033238805	0.448721714
586	0.803355165	0.4487035414
587	0.8033570052	0.4486920398
588	0.803355165	0.4486838449
589	0.8033606858	0.448664896
590	0.8034085326	0.4486544295
591	0.8034103728	0.4486488224
592	0.8034232546	0.4486303048
593	0.8034342962	0.4486110108
594	0.8034269352	0.448602097
595	0.8034342962	0.448594736
596	0.8034674209	0.4485790362
597	0.8034729417	0.4485611224
